N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
,,,,342,Transporte,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,98,Escolar,335,Uniformes,Compras_Moda,Compras_Moda y complementos,Compras/Gastos_Material y ropa de trabajo
,,,,330,Cuota,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,337,Otros,Otros_Otros,,
,,,,334,Comedor,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,,,333,Transporte,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,,,329,Matrícula,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,336,Equipamiento,"Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,475,Otros educación,,,Salud deporte y educación_Otros,Educación_Academias y actividades extraescolares,"Gastos de Representación Y 
de Viaje_Formación"
,,103,Actividades extraescolares,382,Otros,Salud deporte y educación_Otros,Educación_Academias y actividades extraescolares,"Gastos de Representación Y 
de Viaje_Formación"
,,,,104,Apoyo extraescolar,Salud deporte y educación_Academias,Educación_Academias y actividades extraescolares,"Gastos de Representación Y 
de Viaje_Formación"
,,,,107,Música y danza,Salud deporte y educación_Academias,Educación_Academias y actividades extraescolares,"Gastos de Representación Y 
de Viaje_Formación"
,,,,105,Idiomas,Salud deporte y educación_Academias,Educación_Academias y actividades extraescolares,"Gastos de Representación Y 
de Viaje_Formación"
,,,,106,Deportes,Salud deporte y educación_Deporte,Salud y deporte_Deporte,"Gastos de Representación Y 
de Viaje_Otros"
,,100,Universitaria,348,Cuota,Salud deporte y educación_Universidad,Educación_Universidad,"Gastos de Representación Y 
de Viaje_Formación"
,,,,355,Otros,Salud deporte y educación_Universidad,Educación_Universidad,"Gastos de Representación Y 
de Viaje_Formación"
,,,,354,Equipamiento,"Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,,,352,Comedor,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,,,351,Transporte,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,,,347,Matrícula,Salud deporte y educación_Universidad,Educación_Universidad,"Gastos de Representación Y 
de Viaje_Formación"
,,101,Postgrado,360,Transporte,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,,,357,Cuota,Salud deporte y educación_Universidad,Educación_Universidad,"Gastos de Representación Y 
de Viaje_Formación"
,,,,364,Otros,Salud deporte y educación_Universidad,Educación_Universidad,"Gastos de Representación Y 
de Viaje_Formación"
,,,,361,Comedor,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,,,356,Matrícula,Salud deporte y educación_Universidad,Educación_Universidad,"Gastos de Representación Y 
de Viaje_Formación"
,,519,Seguro educación,,,Seguros_Otros,Seguros_Otros,Seguros_Otros
,,102,Asociaciones AMPA y AA AA,,,,,Gastos Profesionales_Colegios Y Asociaciones
8,Gastos personales,111,Transporte público,499,Taxi,Automóvil y transporte_Transporte privado,Automóvil y transporte_Transporte privado,"Gastos de Representación Y 
de Viaje_Transporte Privado"
,,,,500,Otros,Automóvil y transporte_Transporte privado,Automóvil y transporte_Transporte privado,"Gastos de Representación Y 
de Viaje_Transporte Privado"
,,108,Teléfonos móviles y tabletas,422,Accesorios,Compras_Electrónica,Compras_Electrónica y complementos,Compras/Gastos_Maquinaria Y Herramientas
,,,,419,Cuota,Gastos hogar_Factura teléfono,Gastos hogar_Telefonía e internet,Suministros /Consumos_Factura Teléfono
,,,,423,Otros,,,
,,,,420,Seguro,Seguros_Otros,Seguros_Otros,Seguros_Otros
,,,,421,Adquisición,Compras_Electrónica,Compras_Electrónica y complementos,Compras/Gastos_Maquinaria Y Herramientas
,,,,468,Recargas,,,
